No,名称,北緯,東経,所在地
79,きららビーチ焼野,33.9475,131.1655555,山口県山陽小野田市
80,竜王山公園,33.9522222,131.1683333,山口県山陽小野田市
81,夕陽ヶ丘から屋形崎,34.5208333,134.2188888,香川県土庄町
82,三都半島,34.4155555,134.2333333,香川県小豆島町
83,屋島,34.3583333,134.0988888,香川県高松市
84,女木島,34.3966666,134.0502777,香川県高松市
85,琴弾公園内の有明浜と展望台,34.1336111,133.6397222,香川県観音寺市
86,仁尾海岸緑地,34.1958333,133.6422222,香川県三豊市
87,父母ヶ浜海岸,34.1891666,133.6483333,香川県三豊市
88,紫雲出山山頂展望台,34.2436111,133.5952777,香川県三豊市
89,鴨ノ越,34.2225,133.6116666,香川県三豊市
90,恋人岬,33.6861111,132.6341666,愛媛県伊予市
91,上灘漁港,33.6886111,132.6366666,愛媛県伊予市
92,咸陽島,32.9133333,132.6844444,高知県宿毛市
93,サニーサイドパーク,32.9161111,132.7125,高知県宿毛市
94,桜井二見ヶ浦,33.6397222,130.1977777,福岡県糸島市
95,西海国立公園鯛の鼻,33.3183333,129.4644444,長崎県平戸市
96,根獅子,33.2897222,129.4447222,長崎県平戸市
97,石岳展望台,33.1547222,129.6872222,長崎県佐世保市
98,大瀬崎,32.6127777,128.5994444,長崎県五島市
99,渕ノ元,32.7691666,128.6486111,長崎県五島市
100,高舞登山展望所,32.5225,130.4416666,熊本県上天草市
101,天草五橋,32.5297222,130.4241666,熊本県上天草市
102,西平椿公園,32.3444444,129.9847222,熊本県天草市
103,鬼海ヶ浦展望所,32.4141666,130.0041666,熊本県天草市
104,黒石海岸,32.2263888,130.0141666,熊本県天草市
105,小森海岸,32.1641666,130.0177777,熊本県天草市
106,真玉海岸,33.6472222,131.4858333,大分県豊後高田市
